GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL
ANKRD55	0.0	14390.699900000003
ANKRD56	700.2874999999999	3785.3621000000003
ANKRD57	915.5476	5103.3516
ANKRD58	339.6262	4786.7146999999995
ANKRD6	0.0	15373.314400000003
ANKRD7	0.0	1912.2031000000002
ANKRD9	138.1918	28.2128
ANKS1A	806.4635000000001	614.0148
ANKS3	828.0230000000001	1361.1111
ANKZF1	1179.2974	2406.9217
ANLN	1182.1273999999999	1765.8427000000001
ANO10	804.0901	841.4086
ANO3	0.0	685.0197999999999
ANO4	294.9576	864.0630000000001
ANO5	996.9466000000001	0.0
ANO6	1083.5241999999998	2755.2036
ANO7	0.0	213.1595
ANO8	0.0	4505.472000000001
ANO9	0.0	849.1947
ANP32A	1236.0	3578.3961
ANP32B	1495.0	2805.6364
ANP32C	0.0	892.3839
ANP32E	3008.4578	8130.617699999999
ANPEP	0.0	5866.285599999999
ANTXR2	967.1548	2333.4839
ANUBL1	1235.0592	1138.0647999999999
ANXA1	0.0	2334.5632
ANXA10	0.0	1352.3176
ANXA11	952.572	9342.567000000001
ANXA13	0.0	2392.4768000000004
ANXA2	1038.4	2940.1658
ANXA2P1	0.0	1279.0863000000002
ANXA2P2	0.0	2159.0436
ANXA3	0.0	1542.3698
ANXA4	652.8145	2696.9825000000005
ANXA5	1106.4894	3.38
ANXA6	2030.1744999999999	17141.836199999998
ANXA7	1064.608	627.7683999999999
ANXA8	0.0	0.0
ANXA8L1	0.0	0.0
ANXA9	0.0	6926.6817
AOC2	0.0	2010.4252
AOC3	0.0	2010.4252
AOX1	0.0	0.0
AOX2P	0.0	1014.1340000000001
AP1AR	1583.6	3207.3342
AP1B1	987.8786999999999	3736.6409000000003
AP1G1	2327.6	9745.408000000001
AP1G2	237.9312	224.21399999999997
AP1M1	1015.0532000000001	19764.325699999998
AP1M2	0.0	3724.5589999999997
AP1S1	0.0	1002.6137
AP1S2	759.0	2418.8554000000004
AP1S3	992.6800000000001	2242.4677
AP2A1	734.2764	2953.9275000000002
AP2A2	536.844	1865.8611
AP2B1	1414.833	1433.8991
AP2M1	1131.4356	498.8921
AP2S1	810.1776	1506.0046999999997
AP3B1	1383.7186	1361.0341999999998
AP3B2	0.0	1341.5188
AP3D1	1116.4	17729.0165
AP3M1	1425.4002	5952.502399999999
AP3M2	1218.3999999999999	625.0109
AP3S1	1436.1429999999998	57.476800000000004
AP3S2	1983.0582	1985.9684
AP4B1	921.1341	3158.1417999999994
AP4E1	1370.975	3516.8599
AP4M1	2010.4389999999999	1766.6231
AP4S1	718.2872	138.7348
APAF1	814.9837	212.0427
APBA1	0.0	707.2147
APBA2	0.0	1342.462
APBA3	2400.9359000000004	786.492
APBB1	0.0	29.2383
APBB1IP	1214.3999999999999	4594.398999999999
APBB2	348.1681	4890.0662999999995
APBB3	1357.234	1583.6714
APC	813.4644	1150.3237
APC2	0.0	3053.927
APCDD1	0.0	580.2977999999999
APEH	1494.8766	285.6264
APEX1	821.6612	657.1406999999999
APEX2	512.4123	0.0
APH1A	2628.4725	3838.2353999999996
APH1B	0.0	1900.852
API5	962.9451999999999	210.4378
APIP	1139.5092	7404.402700000001
APITD1	876.9771	3089.9829
APITD1-CORT	876.9771	3089.9829
APLF	1158.1445	7364.157299999999
APLN	0.0	208.7712
APLNR	0.0	359.84029999999996
APLP1	0.0	242.6274
APLP2	562.8	2908.4884
APOA1	0.0	6075.4534
APOA1BP	1190.3999999999999	27908.973799999996
APOA2	0.0	11318.4935
APOA4	0.0	2140.6937
APOA5	0.0	2140.6937
APOB	0.0	1019.6648
APOB48R	750.3291999999999	474.02879999999993
APOBEC1	0.0	636.0559
APOBEC2	0.0	1062.778
APOBEC3A	0.0	10996.774299999997
APOBEC3B	1799.1999999999998	13696.339399999999
APOBEC3C	1305.3999999999999	15145.7021
APOBEC3D	1522.6	15952.1931
APOBEC3F	1263.0339999999999	16487.2395
APOBEC3G	1261.8	17690.3505
APOBEC3H	522.1560000000001	15332.334599999998
APOBEC4	0.0	2836.9753
APOC1	0.0	1734.4794000000002
APOC1P1	0.0	3741.4410000000003
APOC2	0.0	6384.841200000001
APOC3	0.0	6075.4534
APOC4	0.0	3812.3547000000003
APOD	0.0	8799.7651
APOE	0.0	1734.4794000000002
APOF	0.0	4007.0767999999994
APOH	0.0	529.884
APOL1	917.5988	9224.4838
APOL2	1532.8169999999998	9224.4838
APOL3	1304.6	6068.1328
APOL4	0.0	5330.790800000001
APOL5	0.0	2281.435
APOL6	1762.4953	2108.0301
APOLD1	1794.7803	13642.085799999999
APOM	0.0	5108.396
APOO	879.1580000000001	301.1234
APOOL	635.4654	3.8454
APP	928.116	2124.2688000000003
APPBP2	961.508	3013.7109
APPL1	1317.1999999999998	561.8064999999999
APPL2	649.6256000000001	2542.5677
APRT	380.43	1539.3911
APTX	1471.1235	1531.6064000000001
AQP1	0.0	698.2974
AQP10	0.0	13597.0598
AQP11	633.3951999999999	0.0
AQP12B	0.0	896.5532999999999
AQP2	0.0	257.7616
