GENE	H3k27ac_16_DMSO_compare_TSS_SIGNAL	H3k27ac_16_DMSO_compare_DISTAL_SIGNAL
ANGPT1	0.0	744.2736000000001
ANGPT4	0.0	2085.2715
ANGPTL2	0.0	4950.230799999999
ANGPTL3	0.0	0.0
ANGPTL4	0.0	9975.945999999998
ANGPTL5	1877.8236	0.0
ANGPTL6	0.0	4657.2965
ANGPTL7	0.0	1026.4753
ANK1	0.0	11290.8056
ANK2	442.40099999999995	3666.3266000000003
ANK3	0.0	3347.2921
ANKAR	664.7339999999999	7637.5401
ANKDD1A	1606.296	81292.3955
ANKFY1	3257.8539	50.7297
ANKH	2157.9	6337.0307
ANKHD1	9223.800000000001	3311.1469
ANKIB1	7954.5318	1245.4913000000001
ANKK1	0.0	2187.8995999999997
ANKLE1	0.0	6171.6364
ANKLE2	2454.0	14.4088
ANKMY1	0.0	20327.2213
ANKMY2	7812.8216	542.5104
ANKRA2	4734.845200000001	1047.8993
ANKRD1	0.0	917.4926
ANKRD10	10040.2	7285.3638
ANKRD11	1561.8000000000002	6196.5385
ANKRD12	29227.2	376193.184
ANKRD13A	3394.1994999999997	14375.894000000002
ANKRD13B	0.0	6252.1813
ANKRD13C	13275.9195	1396.9647
ANKRD13D	12588.812	40279.0886
ANKRD16	2879.4231	12407.531200000001
ANKRD17	12334.199999999999	3094.7428
ANKRD18A	8980.4908	1341.3214
ANKRD19	1126.3568	22006.029400000003
ANKRD2	0.0	1815.6864999999998
ANKRD22	0.0	436.9322
ANKRD23	0.0	5480.346699999999
ANKRD24	2436.7916	6286.017199999999
ANKRD26	5275.162499999999	2025.9144000000001
ANKRD26P1	0.0	5910.8334
ANKRD27	2022.9785	27.6003
ANKRD28	11213.2	11540.211200000002
ANKRD29	0.0	1037.7673
ANKRD30BL	0.0	33321.8845
ANKRD31	2093.3604	30.429
ANKRD32	4511.2914	3049.8721
ANKRD33B	8391.199999999999	20469.409600000003
ANKRD34A	2398.6664	89414.3384
ANKRD34B	0.0	54.9996
ANKRD34C	0.0	1465.499
ANKRD35	0.0	54158.85529999999
ANKRD36	12629.4	196.8777
ANKRD36B	13449.400000000001	734.1035999999999
ANKRD36BP1	0.0	11266.336299999999
ANKRD36BP2	2852.3779999999997	48499.2051
ANKRD37	7393.2	62520.399699999994
ANKRD39	12856.199999999999	5480.346699999999
ANKRD40	9661.199999999999	7927.462500000001
ANKRD42	3612.777	13747.753900000002
ANKRD43	0.0	957.9309999999999
ANKRD44	4573.8476	48558.708900000005
ANKRD45	0.0	1639.192
