To,From,type
ILF3,GAPDH,PPI
ENO1,GAPDH,PPI
PSMD4,GAPDH,PPI
TPT1,GAPDH,PPI
CHD4,GAPDH,PPI
TRAF2,GAPDH,PPI
GPI,GAPDH,PPI
PRMT5,GAPDH,PPI
GPI,TPI1,PPI
SOD2,TPI1,PPI
NME2,TPI1,PPI
RPL10,TPI1,PPI
WDR77,TPI1,PPI
ACTR10,TPI1,PPI
SOD1,TPI1,PPI
ACTG1,TPI1,PPI
RNF4,TPI1,PPI
YWHAZ,TPI1,PPI
ENO1,TPI1,PPI
PDPK1,TPI1,PPI
PGK1,TPI1,PPI
CFL1,TPI1,PPI
PPIAL4G,TPI1,PPI
PPIA,TPI1,PPI
RANBP2,TPI1,PPI
CTBP1,TPI1,PPI
HNRNPR,TPI1,PPI
POT1,TPI1,PPI
SNRPB2,THG1L,PPI
CHCHD2,THG1L,PPI
RELA,SKP1,PPI
SKP2,SKP1,PPI
PCBP1,SKP1,PPI
HSPA8,SKP1,PPI
PPP2R1A,SKP1,PPI
CCNA2,SKP1,PPI
UBE2L3,SKP1,PPI
ORC1,SKP1,PPI
COPS8,SKP1,PPI
ARIH1,SKP1,PPI
COPS3,SKP1,PPI
CDK4,SKP1,PPI
NFKB2,SKP1,PPI
FBXO11,SKP1,PPI
MED21,SKP1,PPI
GPS1,SKP1,PPI
TAF5L,SKP1,PPI
UBE2N,SKP1,PPI
TCF3,SKP1,PPI
BUB1,SKP1,PPI
USP37,SKP1,PPI
KIF14,SKP1,PPI
TAF5,SKP1,PPI
CCNB1,SKP1,PPI
HSP90B1,SKP1,PPI
EIF2B1,SKP1,PPI
YWHAZ,SKP1,PPI
PLK4,SKP1,PPI
RUNX2,SKP1,PPI
EIF3F,SKP1,PPI
YBX1,SKP1,PPI
XRCC5,SKP1,PPI
CCNE2,SKP1,PPI
MNAT1,SKP1,PPI
MCM3,SKP1,PPI
CSNK2B,SKP1,PPI
RBM14,SKP1,PPI
RABGGTB,SKP1,PPI
CENPE,SKP1,PPI
PPP2CA,SKP1,PPI
CDK2,SKP1,PPI
FBXW11,SKP1,PPI
POLR1B,SKP1,PPI
CDK6,SKP1,PPI
PRMT1,SKP1,PPI
PCID2,SKP1,PPI
PRDM1,SKP1,PPI
CUL1,SKP1,PPI
PPP1CA,SKP1,PPI
MYC,SKP1,PPI
EEF1G,SKP1,PPI
EP300,SKP1,PPI
CCNH,SKP1,PPI
TMED2,BNIP1,PPI
BCL2L1,BNIP1,PPI
COPE,BNIP1,PPI
COPG1,BNIP1,PPI
MYC,BNIP1,PPI
RNF4,BNIP1,PPI
TMED10,BNIP1,PPI
BCL2,BNIP1,PPI
NCBP1,BNIP1,PPI
SNRPB2,PPP1R7,PPI
USP7,PPP1R7,PPI
RPRD1B,PPP1R7,PPI
PPP1R8,PPP1R7,PPI
SUMO2,PPP1R7,PPI
SF3B2,PPP1R7,PPI
CWC22,PPP1R7,PPI
BCAS2,PPP1R7,PPI
KIF18A,PPP1R7,PPI
PLK4,PPP1R7,PPI
SART1,PPP1R7,PPI
RBMX2,PPP1R7,PPI
TFIP11,PPP1R7,PPI
CAB39,PPP1R7,PPI
RPTOR,PPP1R7,PPI
YWHAZ,PPP1R7,PPI
PPP1R10,PPP1R7,PPI
CDC40,PPP1R7,PPI
PPP6C,PPP1R7,PPI
PPP2CA,PPP1R7,PPI
ISY1,PPP1R7,PPI
SNRNP40,PPP1R7,PPI
SYF2,PPP1R7,PPI
PPP1CA,PPP1R7,PPI
LSM8,PPP1R7,PPI
PLRG1,PPP1R7,PPI
PPP1CB,PPP1R7,PPI
LSM5,PPP1R7,PPI
BUD13,PPP1R7,PPI
DDX42,CEBPZ,PPI
DDX46,CEBPZ,PPI
DDX23,CEBPZ,PPI
DDX59,CEBPZ,PPI
PPAN,CEBPZ,PPI
DDX20,CEBPZ,PPI
RNF4,CEBPZ,PPI
DDX39A,CEBPZ,PPI
LSG1,CEBPZ,PPI
DDX6,CEBPZ,PPI
CIT,CEBPZ,PPI
GNL3L,CEBPZ,PPI
DDX3X,CEBPZ,PPI
NFYB,CEBPZ,PPI
