CTRL KMS12BM	CTRL MM1R	LOG2_FOLD_CHANGE	P_VALUE
ACTR3C	4.97981064066667	6.486748473	0.38140461439221	0.0145087691456657
ACTR5	20.6088371066667	22.0006798666667	0.0942850063825796	0.138919452807511
ACTR6	47.3612123066667	20.2803107	-1.2236262551569	2.15677851774155e-05
ACTR8	30.1296341133333	25.24728983	-0.255054623219169	0.02814502477685
ACVR1	0.633071344	5.13136515066667	3.01890269362431	0.00970769023938557
ACVR1B	7.88593163233333	2.85647875166667	-1.46504340468421	0.0165677444903388
ACVR1C	1.959939611	1.80075125633333	-0.122210292373535	0.436674814187378
ACVR2A	2.90115439766667	2.83375044666667	-0.0339143635595238	0.777658233183826
ACVR2B	11.8232245733333	2.13255650233333	-2.47096768695015	0.000274677885712276
ACVR2B-AS1	0.880617803666667	0.229347739333333	-1.94097932495702	0.0444077572853254
ACY1	4.112417383	1.955943536	-1.07212197260753	0.0116289064527774
ACY3	92.6331505633333	6.258103659	-3.88773112155826	4.38586123548639e-09
ACYP1	82.36040228	47.8063095366667	-0.78474983719441	0.000423143509835974
ACYP2	1.051046896	27.2322869333333	4.69541919664008	0.00143987437898991
ADA	41.6882016566667	298.368287766667	2.83938316242343	0.000483094407479582
ADAL	5.22690184166667	8.552021972	0.710309493124603	0.00752149962881007
ADAM10	97.1436376566667	201.498899	1.0525805399353	0.00157179665066489
ADAM11	4.28142457133333	1.03437531866667	-2.04933115240501	0.00073076988310007
ADAM15	148.722715166667	179.722319133333	0.273144569329505	0.00985065258358481
ADAM17	33.2796547066667	26.4639711133333	-0.330610900008972	0.0356700263040645
ADAM19	6.308678694	0.409116425666667	-3.94675450861593	0.000421550606921434
ADAM1A	4.738140717	4.367218198	-0.117606431643157	0.596033535771702
ADAM22	12.44505676	6.234314504	-0.997269968341345	9.21492870233674e-05
ADAM8	16.8260954966667	271.066718933333	4.00987565008186	0.000942011376482279
ADAM9	35.29793576	50.9563519466667	0.529678179784883	0.000479274483866739
ADAMTS13	3.341624479	0.093555934	-5.15857664424419	0.00197773983730295
ADAMTS17	0.10214746	0.546823241333333	2.42042123189192	0.0192862687381038
ADAMTSL2	0.602235968333333	0.331467599	-0.861461021488269	0.0810096583061708
ADAMTSL5	8.06777129566667	0.515785826666667	-3.96732615234836	1.7006181816327e-05
ADAP2	4.64663268666667	0.175164139333333	-4.72940625224976	0.0108793358518203
ADAR	110.717885966667	262.1446096	1.24347457874593	0.00102852572812007
ADAT1	7.294576945	9.01113384266667	0.304884336964009	0.08909931944259
ADAT2	18.1909447166667	7.96187877133333	-1.19203965888392	0.000536739346974705
ADAT3	16.4144644133333	23.1749380533333	0.497597805467724	0.00780664950079195
ADC	0.263911183666667	0.587782258333333	1.15522932471	0.0308644518006248
ADCK1	10.2723006166667	4.50261761666667	-1.18992346076197	5.36761227025928e-05
