GENE	TF	ENHANCER_LIST
CUL4A	0	2_MACS_peak_8480_lociStitched
CXCR4	0	2_MACS_peak_17317_lociStitched
CXCR5	0	4_MACS_peak_6113_lociStitched
CXXC1	0	3_MACS_peak_14070_lociStitched
CXXC4	0	3_MACS_peak_23541_lociStitched
CXXC5	0	2_MACS_peak_25303_lociStitched,2_MACS_peak_25300_lociStitched
CYB5D2	0	3_MACS_peak_11936_lociStitched
CYCSP52	0	3_MACS_peak_2061_lociStitched
CYP1A2	0	4_MACS_peak_10094_lociStitched
CYP26A1	0	2_MACS_peak_4205_lociStitched
CYP26C1	0	2_MACS_peak_4205_lociStitched
CYS1	0	2_MACS_peak_15750_lociStitched
CYTH1	0	3_MACS_peak_13500_lociStitched,2_MACS_peak_13512_lociStitched
CYTH4	0	1_MACS_peak_20260_lociStitched
CYTIP	0	2_MACS_peak_17402_lociStitched
DALRD3	0	1_MACS_peak_21194_lociStitched
DAP3	0	1_MACS_peak_1982_lociStitched
DAPK3	0	4_MACS_peak_14488_lociStitched
DAZAP1	0	2_MACS_peak_14376_lociStitched
DCAF6	0	2_MACS_peak_2274_lociStitched
