Symbol,Type,Cell
SPARC,down,MM1S
SPATS2L,down,MM1S
SPC24,down,MM1S
SPC25,down,MM1S
SPCS2,down,MM1S
SPDL1,down,MM1S
SPR,down,MM1S
SPTBN1,down,MM1S
SPTSSA,down,MM1S
SREBF1,down,MM1S
SRFBP1,down,MM1S
SRGN,down,MM1S
SRP9,down,MM1S
SRPK1,down,MM1S
SRSF1,down,MM1S
SRSF10,down,MM1S
SRSF4,down,MM1S
SRSF7,down,MM1S
ST3GAL6,down,MM1S
STAG1,down,MM1S
STARD4,down,MM1S
STIL,down,MM1S
STIP1,down,MM1S
STK26,down,MM1S
STK38L,down,MM1S
STMN1,down,MM1S
STRA13,down,MM1S
STRBP,down,MM1S
SUB1,down,MM1S
SUMO2,down,MM1S
SUV39H1,down,MM1S
SUV39H2,down,MM1S
SUZ12,down,MM1S
SVIP,down,MM1S
SYNCRIP,down,MM1S
TAF5,down,MM1S
TCF19,down,MM1S
TCP1,down,MM1S
TEX2,down,MM1S
TEX30,down,MM1S
TFRC,down,MM1S
THEM6,down,MM1S
THOC1,down,MM1S
THRIL,down,MM1S
TIMELESS,down,MM1S
TIMM21,down,MM1S
TIPIN,down,MM1S
TJP2,down,MM1S
TMED5,down,MM1S
TMEM106C,down,MM1S
TMEM201,down,MM1S
TMEM38B,down,MM1S
TMEM97,down,MM1S
TMPO,down,MM1S
TMSB15A,down,MM1S
TMTC1,down,MM1S
TMX1,down,MM1S
TNFRSF17,down,MM1S
TOE1,down,MM1S
TOP2A,down,MM1S
TOPBP1,down,MM1S
TRMT11,down,MM1S
TSPAN33,down,MM1S
TSPAN7,down,MM1S
TTC13,down,MM1S
TTL,down,MM1S
TTLL4,down,MM1S
TUBA1B,down,MM1S
TUBA4A,down,MM1S
TUBB,down,MM1S
TUBB4B,down,MM1S
TUBG1,down,MM1S
TUBGCP3,down,MM1S
TYMS,down,MM1S
UAP1,down,MM1S
UBE2T,down,MM1S
UBR7,down,MM1S
UCHL5,down,MM1S
UCK2,down,MM1S
UGT2B17,down,MM1S
UHRF1,down,MM1S
UNC13C,down,MM1S
UNG,down,MM1S
UQCC2,down,MM1S
URB2,down,MM1S
USP1,down,MM1S
USP14,down,MM1S
VBP1,down,MM1S
VCP,down,MM1S
VIM,down,MM1S
VRK1,down,MM1S
WDR34,down,MM1S
WDR62,down,MM1S
WDR76,down,MM1S
WEE1,down,MM1S
WHSC1,down,MM1S
XPO1,down,MM1S
XRCC2,down,MM1S
XRCC3,down,MM1S
XRCC5,down,MM1S
YWHAH,down,MM1S
YWHAQ,down,MM1S
ZDHHC13,down,MM1S
ZNF215,down,MM1S
ZNF367,down,MM1S
ZW10,down,MM1S
ZWILCH,down,MM1S
ZWINT,down,MM1S
ABHD17A,up,MM1S
ABHD2,up,MM1S
ABHD4,up,MM1S
ABLIM1,up,MM1S
ABR,up,MM1S
ABTB1,up,MM1S
ACAP1,up,MM1S
ACP6,up,MM1S
ACSS1,up,MM1S
ACSS2,up,MM1S
ADAM28,up,MM1S
ADCK3,up,MM1S
ADCY7,up,MM1S
ADGRG1,up,MM1S
ADRB2,up,MM1S
AKAP13,up,MM1S
AKAP8L,up,MM1S
AKNA,up,MM1S
AKR1A1,up,MM1S
ALAD,up,MM1S
ALDH3B1,up,MM1S
ALKBH7,up,MM1S
AMPD3,up,MM1S
ANKRD36BP2,up,MM1S
ANXA11,up,MM1S
AP5Z1,up,MM1S
APBA3,up,MM1S
APOL1,up,MM1S
APOL2,up,MM1S
APOL3,up,MM1S
ARAP1,up,MM1S
ARFGAP2,up,MM1S
ARHGAP25,up,MM1S
ARHGAP31,up,MM1S
ARHGAP4,up,MM1S
ARHGAP6,up,MM1S
ARHGEF3,up,MM1S
ARID5A,up,MM1S
ARL6IP5,up,MM1S
ARMC5,up,MM1S
ARRDC1,up,MM1S
ASB2,up,MM1S
ATG2A,up,MM1S
ATG9A,up,MM1S
ATP2A3,up,MM1S
BARX2,up,MM1S
BAX,up,MM1S
BAZ2A,up,MM1S
BBC3,up,MM1S
BCKDHA,up,MM1S
BCL2L1,up,MM1S
BCL2L11,up,MM1S
BCL9,up,MM1S
BCL9L,up,MM1S
BHLHE41,up,MM1S
BISPR,up,MM1S
BLNK,up,MM1S
BLOC1S4,up,MM1S
BMF,up,MM1S
BMP8A,up,MM1S
BORCS6,up,MM1S
BRI3,up,MM1S
BTBD2,up,MM1S
BTBD3,up,MM1S
BTG1,up,MM1S
BTG2,up,MM1S
BZRAP1-AS1,up,MM1S
C10orf10,up,MM1S
C11orf68,up,MM1S
C12orf49,up,MM1S
C1orf186,up,MM1S
C5orf56,up,MM1S
C6orf48,up,MM1S
C9orf16,up,MM1S
CABLES1,up,MM1S
CACNB1,up,MM1S
CALCOCO1,up,MM1S
CALHM2,up,MM1S
CAPN15,up,MM1S
CAT,up,MM1S
CBX7,up,MM1S
CCDC28A,up,MM1S
CCDC71L,up,MM1S
CCDC88B,up,MM1S
CCDC88C,up,MM1S
CCNDBP1,up,MM1S
CCNG1,up,MM1S
CCNG2,up,MM1S
CCS,up,MM1S
CD200R1,up,MM1S
CD276,up,MM1S
CD37,up,MM1S
CD82,up,MM1S
CD86,up,MM1S
CD9,up,MM1S
CDC42BPA,up,MM1S
CDIPT,up,MM1S
CDKN1A,up,MM1S
CECR1,up,MM1S
CHIC2,up,MM1S
CHMP1B,up,MM1S
CHMP7,up,MM1S
CHST7,up,MM1S
CHURC1,up,MM1S
CITED2,up,MM1S
CLCN7,up,MM1S
CLDN15,up,MM1S
COMMD6,up,MM1S
CR2,up,MM1S
CREB3L4,up,MM1S
CRIM1,up,MM1S
CRYBB1,up,MM1S
CSNK1G2,up,MM1S
CSNK1G3,up,MM1S
CSTB,up,MM1S
CTDSP1,up,MM1S
CTNNBIP1,up,MM1S
CTSB,up,MM1S
CTSS,up,MM1S
CTSZ,up,MM1S
CXCL13,up,MM1S
CXCL16,up,MM1S
CXXC4,up,MM1S
CYB5D2,up,MM1S
CYBB,up,MM1S
CYFIP2,up,MM1S
CYP2U1,up,MM1S
CYTH4,up,MM1S
DBP,up,MM1S
DCAF8,up,MM1S
DCBLD1,up,MM1S
DDB2,up,MM1S
DDIT4L,up,MM1S
DEDD2,up,MM1S
DENND1C,up,MM1S
DEPTOR,up,MM1S
DERL3,up,MM1S
DEXI,up,MM1S
DFNB31,up,MM1S
DLGAP4,up,MM1S
DMPK,up,MM1S
DMWD,up,MM1S
DNAJC4,up,MM1S
DNAL4,up,MM1S
DNASE2,up,MM1S
DNPH1,up,MM1S
DOCK11,up,MM1S
DOK2,up,MM1S
DPH1,up,MM1S
DPH7,up,MM1S
DTX3L,up,MM1S
DUSP5,up,MM1S
DUSP6,up,MM1S
DYRK2,up,MM1S
EAPP,up,MM1S
ECH1,up,MM1S
EEF1A1,up,MM1S
EIF2D,up,MM1S
EIF3F,up,MM1S
EIF3H,up,MM1S
EIF3L,up,MM1S
EPB41L4A-AS1,up,MM1S
EPN1,up,MM1S
EPS8L2,up,MM1S
ERN1,up,MM1S
EZH1,up,MM1S
F2RL3,up,MM1S
FAM102A,up,MM1S
FAM117A,up,MM1S
FAM134C,up,MM1S
FAM174B,up,MM1S
FAM19A5,up,MM1S
FAM214A,up,MM1S
FAM21C,up,MM1S
FAM234A,up,MM1S
FAM89B,up,MM1S
FAM8A1,up,MM1S
FBRS,up,MM1S
FBXW4,up,MM1S
FCMR,up,MM1S
FDXR,up,MM1S
FGD4,up,MM1S
FKBP8,up,MM1S
FLYWCH1,up,MM1S
FNBP1,up,MM1S
FOXK1,up,MM1S
FOXO4,up,MM1S
FRAT2,up,MM1S
FTL,up,MM1S
FUCA1,up,MM1S
FURIN,up,MM1S
GALNT10,up,MM1S
GALT,up,MM1S
GAS5,up,MM1S
GGT1,up,MM1S
GHDC,up,MM1S
GJA1,up,MM1S
GLIPR1,up,MM1S
GLTSCR2,up,MM1S
GMIP,up,MM1S
GNB2L1,up,MM1S
GPSM3,up,MM1S
GRAMD1A,up,MM1S
GRAP,up,MM1S
GRHL3,up,MM1S
GRINA,up,MM1S
GRN,up,MM1S
GSTK1,up,MM1S
GVINP1,up,MM1S
HBP1,up,MM1S
HDAC5,up,MM1S
HDAC7,up,MM1S
HECA,up,MM1S
HELZ2,up,MM1S
HEXDC,up,MM1S
HEY1,up,MM1S
HLA-A,up,MM1S
HLA-H,up,MM1S
HMG20A,up,MM1S
HMG20B,up,MM1S
HMGCL,up,MM1S
HOMER3,up,MM1S
HS1BP3,up,MM1S
HSD17B11,up,MM1S
HSF1,up,MM1S
HSH2D,up,MM1S
ICAM3,up,MM1S
ICK,up,MM1S
ID3,up,MM1S
IER5,up,MM1S
IFFO2,up,MM1S
IFI16,up,MM1S
IFI6,up,MM1S
IFNGR1,up,MM1S
IGBP1,up,MM1S
IGFBP3,up,MM1S
IGFLR1,up,MM1S
IGHG1,up,MM1S
IGHG2,up,MM1S
IGLV6-57,up,MM1S
IKZF3,up,MM1S
IL12RB1,up,MM1S
IL16,up,MM1S
INAFM2,up,MM1S
ING4,up,MM1S
INPP5D,up,MM1S
INPP5K,up,MM1S
IQGAP2,up,MM1S
IQSEC1,up,MM1S
IRF1,up,MM1S
IRF2BP2,up,MM1S
IRF2BPL,up,MM1S
IRF3,up,MM1S
IRF7,up,MM1S
IRF9,up,MM1S
IRS1,up,MM1S
ISG20,up,MM1S
ITGAL,up,MM1S
ITGB5,up,MM1S
ITPKB,up,MM1S
JADE2,up,MM1S
JAK3,up,MM1S
JARID2,up,MM1S
JMY,up,MM1S
JUP,up,MM1S
KCNH2,up,MM1S
KCNQ1,up,MM1S
KIAA0141,up,MM1S
KIAA0195,up,MM1S
KIAA1551,up,MM1S
KLF13,up,MM1S
KLF3,up,MM1S
KLHL24,up,MM1S
KLHL6,up,MM1S
KRCC1,up,MM1S
LAPTM5,up,MM1S
LASP1,up,MM1S
LDB1,up,MM1S
LDLRAD3,up,MM1S
LEF1,up,MM1S
LENG8,up,MM1S
LETMD1,up,MM1S
LGI2,up,MM1S
LHFPL2,up,MM1S
LHX8,up,MM1S
LILRA2,up,MM1S
LINC00094,up,MM1S
LINC00341,up,MM1S
LINC00888,up,MM1S
LINC00920,up,MM1S
LLGL1,up,MM1S
LOC100129034,up,MM1S
LOC100420587,up,MM1S
LOC100506548,up,MM1S
LOC101928465,up,MM1S
LOC105372267,up,MM1S
LOC407835,up,MM1S
LOC440311,up,MM1S
LOXL4,up,MM1S
LPIN1,up,MM1S
LRP10,up,MM1S
LRRC14B,up,MM1S
LRRC41,up,MM1S
LRRC61,up,MM1S
LRRC75A-AS1,up,MM1S
LSP1,up,MM1S
LTBP3,up,MM1S
LY86,up,MM1S
LY9,up,MM1S
LY96,up,MM1S
MAF,up,MM1S
MAF1,up,MM1S
MAML2,up,MM1S
MAN1B1,up,MM1S
MAN2B1,up,MM1S
MAP1LC3B,up,MM1S
MAP2K2,up,MM1S
MAP3K1,up,MM1S
MAP3K10,up,MM1S
MAPK3,up,MM1S
MAPRE2,up,MM1S
2-Mar,up,MM1S
8-Mar,up,MM1S
MARCKS,up,MM1S
MAU2,up,MM1S
MBD6,up,MM1S
MBTD1,up,MM1S
MED26,up,MM1S
MEIS1,up,MM1S
METRNL,up,MM1S
METTL23,up,MM1S
METTL7A,up,MM1S
MEX3B,up,MM1S
MGAT3,up,MM1S
